target,price,appellation2,text
3,15.0, Centro Italia,realizzato 85 Sangiovese 15 Cabernet Sauvignon presentare aromi terra lavorato bacca buccia nero moka palato deciso offrire tabacco pane tostare soffio ribes nero tannino fitto lasciare finale asciutto Bere 2019 Trere Sangiovese
3,20.0, Toscana,carne griglia fuoco legna contrastano amae re fragoline Bosco naso classico espressione Sangiovese aprire palato ciliegia pomodorine maturo liquirizia nero cioccolare scorza arancia strutturare tannino lineare levigato acidita vibrante Villa Calcinaia Sangiovese
3,36.0, Piemonte,bacche profumato mentolo tabacco pipa fiore blu aromio troverai rosso profumato etereo vivace offrire mirtillo rosso amarena spezie forno contrapporre spina dorsale acido tannino tendere grana riunire completamente Bere 2022 2029 Spinona Nebbiolo
2,32.0, Italia nord-orientale,aromi pesca grigliato baciato sale marino fiore bianco emergere bicchiere vino Vibrante fresco palato consistenza richiamare frutto mare tocco acidita mantenere sorso rinfrescante vino terminare ampio sentore frutta Nocciolo maturo roccia frantumato Venica Venica Malvasia Bianco italiano
3,69.0, Toscana,realizzato esclusivamente Sangiovese offrire aromio rovere francese frutta buccia nero palato elegantemente strutturato presentare ciliegia marasca maturo mirtillo rosso spezie guidare quercia scorzare arancia sentore cocco tannino grana conferire finale San Felice Sangiovese
3,80.0, Piemonte,Tartufo cuoio fiore blu pressare mentolo soffio selvaggina aprire strada aromio trasferire palato maturo corposo amarena carnoso prugna macerare cannello anice stellare tannino levigato fornire cornice accessibile manterra prossimo Bere 2023 Curto Marco Nebbiolo
1,22.0, Veneto,aromi pera maturo mela giallo accenno mandore seguire lineare palare secco osso straordinariamente fresco vivace acidita vigoroso perlage Andreola Glera Bianco italiano
1,49.0, Lombardia,aromi limone fiore bianco primavera camomilla brioco mescolano sentore erba selvatico palato lineare sapido offre cremoso mela giallo pompelmo nocciolo insolito intrigante sentore salumerio accanto perlage continuo Montina Miscela frizzante Frizzante
3,35.0, Sicilia e Sardegna,aromi tartufo frutto Bosco maturo rosa cacao macchia mediterraneo modellano naso palato fermamente strutturato magro offrere rovere francese amarena salvia polvere anice stellare contrapposto brillante acidita tannino deciso grana lasciare finale secco pietradolce Nerello Mascalese Rosso italiano
3,28.0, Toscana,miscela Cabernet Sauvignon Merlot Petit Verdot Cabernet Franc aromio frutta buccia scuro macchia mediterraneo spezie forno palato rotondo offrire confettura more aniceo stellare moka tannino flessuoso Bere 2026 Tenuta Argentiera Miscele Rosse Miscele Rosse
3,47.0, Sicilia e Sardegna,realizzato Cannonau Carignano Bovale rosso terroso offrire aromio terra bruciato cuoio sottobosco rovere francese frutta maturo buccia nero rispecchiare naso palato corposo offrire amarena essiccato mirtillo vaniglia prugna seccare spezie guidare quercio accompagnare tannino grana pala Miscele Rosse Miscele Rosse
3,27.0, Toscana,aromi sottile suggerire canfora quercio francese fiore violare anice stellato formare naso decisamente strutturato lineare palato elegante sapido evoca Marasca liquirizia scorzare arancia accanto tannino grana fresco acidita Frescobaldi Miscele Rosse Miscele Rosse
2,70.0, Italia nord-orientale,versione macerato Malvasia aprire aromio scorza mandarino essiccato albicoccare secco fiore giallio pressato palato ricco equilibrare frutta seccare nocciolo fiore secco prendere sopravvento Draga Malvasia Bianco italiano
3,220.0, Piemonte,aromi seducente ricordare cuoio rosa pressato eucalipto legno sandalo piano vino splendido avvincente corposo strutturato carico finezza palato preciso giovane delizioso offrire succoso Marasca lampone liquirizia tartufo pepe bianco spina dorsale tannino tesi raffinato brillante acidita mantenere energico alimentare decennio evoluzione Bere 2026 2056 cavallotto Nebbiolo
3,17.0, Sud Italia,mix coulis ciliegia more imbevere brandy fondere doso inebriante tabacco timo fresco naso miscela 85 Montepulciano 15 Aglianico Morbido morbido tatto sollevare fresco acidita palato medio corpo offrire sapore frutto Bosco puro succoso punteggiare tono spezie dolce salare Majo Norante Miscele Rosse Miscele Rosse
